text,clean_text,label,mentions_dem,mentions_rep
"   
 https://t.co/EGIrw0f9fI  RT 4   ",       rt 4   ,Democrat,"['Clinton', 'Hillary']",[]
Donald Trump is accused of raping a 13-year-old girl. Don't you find strange that the media failed to cover it?   https://t.co/WVOe4XA1yJ,donald trump is accused of raping a 13-year-old girl. don t you find strange that the media failed to cover it    ,Democrat,[],"['Trump', 'Trump', 'Trump', 'Donald']"
"Clinton rebounds, but we still have to play offense. Get out the vote. ","clinton rebounds, but we still have to play offense. get out the vote. ",Democrat,['Clinton'],[]
Still deadly ambitious  is the lesser of two evils.  is a vulgar psychopath.    ,still deadly ambitious  is the lesser of two evils.  is a vulgar psychopath.    ,Democrat,['Hillary'],['Trump']
 Must Knows About Donald Trump: https://t.co/pSv5AvJ5Dx      *Please RT*, must knows about donald trump:        please rt ,Democrat,[],"['Trump', 'Trump', 'Trump', 'Trump', 'Trump', 'Donald', 'Donald']"
"Ballot received, processed and counted! +1 for Clinton.  https://t.co/OYUXPvTQ91","ballot received, processed and counted   1 for clinton.  ",Democrat,['Clinton'],[]
My first election I voted for a Black man and today I got the privilege to vote for a woman! Let's make herstory!  https://t.co/9pJNuqtBnN,my first election i voted for a black man and today i got the privilege to vote for a woman  let s make herstory   ,Democrat,[],[]
Attention Melanie Trump the book 1984 is a cautionary tail not a blueprint   https://t.co/A4anhmmui4,attention melanie trump the book 1984 is a cautionary tail not a blueprint   ,Democrat,[],"['Trump', 'Trump']"
Part 3: Former Secret Service officer to Bill &amp;  gives us an inside look into the Clinton's when the cameras are off!  NOT https://t.co/xOF5uGqyUk,part 3: former secret service officer to bill and;  gives us an inside look into the clinton s when the cameras are off   not ,Democrat,"['Clinton', 'Hillary']",[]
"7 days left. Remember, in most states, early voting has started.   ","7 days left. remember, in most states, early voting has started.   ",Democrat,['Hillary'],[]
Election Day 2016 is here. Please go vote! ,election day 2016 is here. please go vote  ,Democrat,[],[]
"Check out Donald Trumpangutan! Available for the next 11 days via @Teespring: https://t.co/mIwF9sR1ep  

",check out donald trumpangutan  available for the next 11 days via  teespring:     ,Democrat,[],"['Trump', 'Donald']"
Come on America.  Please don't let us down.     ,come on america.  please don t let us down.     ,Democrat,['HILLARY'],['Trump']
OUTRAGEOUS!!!! https://t.co/LSvc3Wv1Hw     ,outrageous          ,Democrat,[],"['Trump', 'Trump']"
Hilary is only ahead of Trump by 2%; go out and vote if you don't want a racist tangerine running the country for 4 years.  🇺🇸,hilary is only ahead of trump by 2 ; go out and vote if you don t want a racist tangerine running the country for 4 years.    ,Democrat,[],['Trump']
"Saw movie Denial last night.
My 10 yr old's comment - ""that guy was like Trump! I wanted to yell that in theater!""
 
",saw movie denial last night. my 10 yr old s comment -  that guy was like trump  i wanted to yell that in theater     ,Democrat,[],"['Trump', 'trump']"
The email scandal that wasn't. https://t.co/M0kZi3zhty via @voxdotcom  @HillaryClinton ,the email scandal that wasn t.  via  voxdotcom   hillaryclinton ,Democrat,"['Clinton', 'Hillary', 'Hillary']",[]
 I care about this country!   https://t.co/ABW7z83o5L, i care about this country    ,Democrat,[],[]
 because I want my rights as a queer mentally ill woman preserved &amp; Trump won't do that, because i want my rights as a queer mentally ill woman preserved and; trump won t do that,Democrat,[],['Trump']
 Must Knows About Donald Trump: https://t.co/BybTdToAlG   *Please RT*  , must knows about donald trump:     please rt   ,Democrat,['Hillary'],"['Trump', 'Trump', 'Donald']"
"NOT MY PRESIDENT

      @ Trump… https://t.co/LfBJandtp3",not my president          trump  ,Democrat,[],"['trump', 'Trump']"
Wild Trump quotes to music.  Twitter cuts vids short- rest on FB: https://t.co/9SpN1RnO0H https://t.co/kSKUQxe55l,wild trump quotes to music.  twitter cuts vids short- rest on fb:  ,Democrat,[],['Trump']
Trump Can't Just Lose--He Must Be Crushed    https://t.co/aOjZizDk3U,trump can t just lose--he must be crushed    ,Democrat,[],"['Trump', 'Trump']"
 laws all the time   Melania Trump worked in U.S. without proper permit - The Washington Post https://t.co/ejPbT03hLR, laws all the time   melania trump worked in u.s. without proper permit - the washington post ,Democrat,[],"['Trump', 'Trump']"
Funny Trump quotes to catchy music.  Twitter cuts vids short- whole thing on FB: https://t.co/19KA5SXefe https://t.co/jGsCOHqgLL,funny trump quotes to catchy music.  twitter cuts vids short- whole thing on fb:  ,Democrat,[],['Trump']
.@realDonaldTrump's long history of racism from 1970s to 2016.      https://t.co/WgWfaotZrW,. realdonaldtrump s long history of racism from 1970s to 2016.      ,Democrat,[],"['Trump', 'Trump', 'Donald', 'GOP']"
"David, the police officer, said that Trump is a twally washer. ","david, the police officer, said that trump is a twally washer. ",Democrat,[],"['Trump', 'Trump']"
Chimamanda Adichie: Why Hillary Clinton Is So Widely Loved - The Atlantic     https://t.co/NAgm9rE7nc,chimamanda adichie: why hillary clinton is so widely loved - the atlantic     ,Democrat,"['Clinton', 'clinton', 'Hillary']",['Trump']
The latest Debt Tips Daily! https://t.co/7hiFj3kKdL Thanks to @SilValleyGlobe @CanChamHK @PepBlanc  ,the latest debt tips daily   thanks to  silvalleyglobe  canchamhk  pepblanc  ,Democrat,[],['trump']
Donald Trump's 2013  Against @BillMaher Reveals a Lot About His Campaign https://t.co/YTccMoC6FN   ,donald trump s 2013  against  billmaher reveals a lot about his campaign    ,Democrat,[],"['Trump', 'Trump', 'Trump', 'Donald']"
" , my 10 month old is actually watching   @ Rose Hill, Alexandria,… https://t.co/lIx9uZzHzs"," , my 10 month old is actually watching     rose hill, alexandria,  ",Democrat,[],"['trump', 'trump']"
"Bottom line, Obama was a transformational President. Hillary will continue to build on his work. Trump is UNFIT.   https://t.co/sD79nvg0qQ","bottom line, obama was a transformational president. hillary will continue to build on his work. trump is unfit.   ",Democrat,"['Hillary', 'Hillary', 'Obama']",['Trump']
That fucking Comey!! Clinton email probe over! That idiot! But who knows this craziness may give her the bump she needs! ,that fucking comey   clinton email probe over  that idiot  but who knows this craziness may give her the bump she needs  ,Democrat,['Clinton'],[]
US Election day is upon us. The world watches.  ,us election day is upon us. the world watches.  ,Democrat,['Hillary'],[]
Tomorrow we could all wake up and  live in a world with a female president!!! CHANGE IS POSSIBLE.  ,tomorrow we could all wake up and  live in a world with a female president    change is possible.  ,Democrat,[],[]
"Soundtrack for the next TWENTY FOUR HOURS.   🚺🗳🎧
Let other people in
Stop… https://t.co/W3b2HcmMbF",soundtrack for the next twenty four hours.       let other people in stop  ,Democrat,[],[]
"I voted by mail. I voted weeks ago. I voted in Florida. I voted for Hillary Clinton. 

 emphatically.",i voted by mail. i voted weeks ago. i voted in florida. i voted for hillary clinton.    emphatically.,Democrat,"['Clinton', 'Hillary']",[]
Donald Trump's budget plan is completely insane. https://t.co/qd3M2SffdT https://t.co/oLblZQV8mL  ,donald trump s budget plan is completely insane.    ,Democrat,[],"['Trump', 'Trump', 'Trump', 'Donald', 'Donald']"
Sailor Who Took Photos Inside Sub Sentenced After Invoking Hillary Clinton Defense' ,sailor who took photos inside sub sentenced after invoking hillary clinton defense  ,Democrat,"['Clinton', 'Hillary']",[]
"Seriously?
You want Hillary  Clinton as your President??
 ",seriously  you want hillary  clinton as your president    ,Democrat,"['Clinton', 'Hillary']",[]
https://t.co/FKeqP1S0kn       ,       ,Democrat,['hillary'],"['trump', 'trump', 'Trump', 'Trump', 'Pence', 'Pence']"
I've never colored in a black dot so carefully in my whole life     ,i ve never colored in a black dot so carefully in my whole life     ,Democrat,['hillary'],['trump']
"“Trump violates federal labor law, refuses to negotiate with his Vegas workers’ union” by @AliceOllstein https://t.co/T3mj21PZmB "," trump violates federal labor law, refuses to negotiate with his vegas workers  union  by  aliceollstein  ",Democrat,[],"['Trump', 'Trump']"
"Autocratic rulers love vain, stupid, tiny-minded men who they can exploit. Voilà, Putin and Puppet Trump. VOTE RESOUNDINGLY, USA.
","autocratic rulers love vain, stupid, tiny-minded men who they can exploit. voil , putin and puppet trump. vote resoundingly, usa. ",Democrat,[],['Trump']
    https://t.co/0Zt2UOz64S,    ,Democrat,['HILLARY'],[]
